Date,Open,High,Low,Close,Adj Close,Volume,MA_7,MA_30,RSI,EMA_12,EMA_26,MACD
2014-10-16,394.51800537109375,398.8070068359375,373.0700073242188,382.5559997558594,382.5559997558594,26990000,381.57472011021207,384.11280110677086,52.33635884862235,377.2217671666168,384.30797186214335,-7.086204695526533
2014-10-17,382.7560119628906,385.4779968261719,375.3890075683594,383.7579956054688,383.7579956054688,13600700,384.7455749511719,381.66026713053384,58.31447690334131,378.22734077259406,384.26723288016746,-6.039892107573394
2014-10-18,383.97601318359375,395.1579895019531,378.9710083007813,391.4419860839844,391.4419860839844,11416800,388.9088570731027,380.5603332519531,75.4697107083856,380.2603631281925,384.79869608045016,-4.538332952257633
2014-10-19,391.2539978027344,393.9389953613281,386.4570007324219,389.5459899902344,389.5459899902344,5914570,390.47985403878346,380.3853332519531,79.65872234847859,381.6889211069682,385.1503474811749,-3.461426374206667
2014-10-20,389.2309875488281,390.0840148925781,378.25201416015625,382.8450012207031,382.8450012207031,16419000,389.3985682896205,379.5167002360026,73.2416679884614,381.8667795860044,384.97958109151034,-3.1128015055059564
2014-10-21,382.4209899902344,392.64599609375,380.8340148925781,386.4750061035156,386.4750061035156,14188900,387.3421412876674,379.10516662597655,72.64451114486748,382.57573751177534,385.09035331462184,-2.5146158028464924
2014-10-22,386.1180114746094,388.5759887695313,382.2489929199219,383.1579895019531,383.1579895019531,11641300,385.682852608817,378.47203267415364,65.48021540725297,382.66531474103346,384.9472152544242,-2.281900513390724
2014-10-23,382.9620056152344,385.0480041503906,356.4469909667969,358.4169921875,358.4169921875,26456900,382.2344229561942,375.8928995768229,47.00290625259487,378.9348035789514,382.9820135457631,-4.0472099668116925
2014-10-24,358.59100341796875,364.3450012207031,353.30499267578125,358.3450012207031,358.3450012207031,15585700,378.603995186942,373.73090006510415,48.49482444639839,375.76714167768245,381.1570496698327,-5.389907992150256
2014-10-25,358.6109924316406,359.8609924316406,342.87701416015625,347.27099609375,347.27099609375,18127500,372.2938537597656,371.58746643066405,43.588838252778146,371.38311928015435,378.6469716271599,-7.263852347005582
2014-10-26,347.48699951171875,359.22100830078125,343.9309997558594,354.7040100097656,354.7040100097656,11272500,367.3164280482701,369.9301005045573,38.99985893518871,368.81710246932533,376.87341891476035,-8.056316445435016
2014-10-27,354.7770080566406,358.6319885253906,349.8089904785156,352.989013671875,352.989013671875,13033000,363.05128696986606,368.3790679931641,30.95129364603021,366.3820118851022,375.1042037115837,-8.722191826481492
2014-10-28,353.2149963378906,359.9840087890625,352.6789855957031,357.6180114746094,357.6180114746094,7845880,358.9288591657366,367.7269683837891,26.597270498096947,365.03370412964176,373.80893021254855,-8.775226082906784
2014-10-29,357.0889892578125,357.8330078125,335.3429870605469,335.59100341796875,335.59100341796875,18192700,352.1335754394531,366.39776814778645,22.686407400521674,360.50405786630745,370.97797267220926,-10.473914805901813
2014-10-30,335.7090148925781,350.9129943847656,335.0719909667969,345.30499267578125,345.30499267578125,30177900,350.2604326520647,365.0098012288411,32.401374740088016,358.165740144688,369.0762704502516,-10.910530305563611
2014-10-31,345.0090026855469,348.0450134277344,337.1419982910156,338.3210144042969,338.3210144042969,12545400,347.39986310686385,363.5000020345052,29.646025320816435,355.1127054153971,366.79810333573647,-11.68539792033937
2014-11-01,338.6499938964844,340.52899169921875,321.05499267578125,325.7489929199219,325.7489929199219,16677200,344.3252912248884,361.85590209960935,21.80679352353131,350.595211185324,363.75742849012056,-13.16221730479657
2014-11-02,326.07501220703125,329.04998779296875,320.6260070800781,325.8919982910156,325.8919982910156,8603620,340.20928955078125,360.7352355957031,22.264542733699386,346.794716893892,360.9525818087054,-14.157864914813445
